id,latitude,longitude,code_postal,region,ville
21611,44.026447219,3.555229304,30120,occitanie,breau mars
21612,43.484190282,0.462240809,32300,occitanie,st medard
21613,46.363763372,5.34719405,1270,auvergne-rhône-alpes,salavre
21614,44.026447219,3.555229304,30120,occitanie,breau mars
21615,43.431363478,0.405012345,32300,occitanie,st michel
21616,45.865304092,5.403592522,1150,auvergne-rhône-alpes,sault brenaz
21617,43.863206268,3.983808423,30260,occitanie,brouzet les quissac
21618,43.712727142,0.916165997,32120,occitanie,st orens
21619,43.827500493,3.991218963,30260,occitanie,carnas
21620,43.649751992,0.161952447,32290,occitanie,st pierre d aubezies
21621,44.230186879,4.585328716,30130,occitanie,carsan
21622,43.868552303,0.459205282,32310,occitanie,st puy
21623,46.138520943,5.303608596,1250,auvergne-rhône-alpes,tossiat
21624,44.066043562,3.3553557080000003,30750,occitanie,causse begon
21625,43.69880967,0.8125434730000001,32270,occitanie,st sauvy
21626,43.834135854,4.267600194,30820,occitanie,caveirac
21627,43.364619609,0.33945765,32170,occitanie,sarraguzan
21628,44.300061504,3.962445368,30530,occitanie,chamborigaud
21629,43.751114646,0.114385443,32190,occitanie,seailles
21630,46.114578347,4.8651703170000005,1140,auvergne-rhône-alpes,valeins
21631,44.154185002,4.687991986,30200,occitanie,chusclan
21632,43.629702093,-0.261260849,32400,occitanie,segos
21633,46.043475712,5.294333115,1160,auvergne-rhône-alpes,varambon
21634,44.016204617,4.287048729,30190,occitanie,collorgues
21635,43.404804712,0.645550256,32140,occitanie,sere
21636,45.920191061,5.364013485,1150,auvergne-rhône-alpes,vaux en bugey
21637,43.775615877,4.158369413,30111,occitanie,congenies
21638,43.738452675,0.00678914,32110,occitanie,sion
21639,44.077156646,4.598871276,30330,occitanie,connaux
21640,43.552359577,0.032277688,32160,occitanie,tieste uragnoux
21641,43.938406308,3.905945862,30170,occitanie,conqueyrac
21642,43.821751489,-0.178352212,32240,occitanie,toujouse
21643,46.345699459,5.310381953,1270,auvergne-rhône-alpes,villemotier
21644,43.872422276,3.940306336,30260,occitanie,corconne
21645,43.748902129,0.7014055560000001,32390,occitanie,tourrenquets
21646,44.069699105,4.157410639,30360,occitanie,deaux
21647,43.530982605,0.649751018,32450,occitanie,traverseres
21648,44.116397281,4.431151263,30580,occitanie,fontareches
21649,43.69919587,6.961901751,6620,provence-alpes-côte d'azur,le bar sur loup
21650,43.868099418,0.363811321,32310,occitanie,valence sur baise
21651,43.933087695,4.603951433,30210,occitanie,fournes
21652,43.847688303,4.028462931,30260,occitanie,gailhan
21653,43.72381651,4.359105675,30510,occitanie,generac
21654,44.080165172,3.992047343,30140,occitanie,generargues
21655,44.208747242,4.439283432,30630,occitanie,goudargues
21656,43.792498564,7.22781124,6670,provence-alpes-côte d'azur,castagniers
21657,44.227574554,4.030131028,30110,occitanie,la grand combe
21658,44.300522267,4.504658812,30760,occitanie,laval st roman
21659,43.843111525,4.056674898,30250,occitanie,lecques
21660,44.012361097,4.051387909,30350,occitanie,lezan
21661,44.030718773,4.682449953,30126,occitanie,lirac
21662,43.850270722,7.240062794,6670,provence-alpes-côte d'azur,levens
21663,43.861310247,4.449320414,30320,occitanie,marguerittes
21664,44.125248892,3.938116548,30140,occitanie,mialet
21665,43.789415024,4.308938189,30540,occitanie,milhaud
21666,44.120936592,4.177957153,30340,occitanie,mons
21667,43.925475052,4.129631337,30350,occitanie,moulezan
21668,43.787436193,4.233181311,30114,occitanie,nages et solorgues
21669,44.166033063,4.23583946,30580,occitanie,navacelles
21670,43.844657847,4.347591011,30900,occitanie,nimes
21671,44.105970524,3.828332583,30124,occitanie,peyrolles
21672,44.107928807,3.712837792,30122,occitanie,les plantiers
21673,44.091576123,4.509101058,30330,occitanie,pougnadoresse
21674,43.914649603,4.423148901,30320,occitanie,poulx
21675,44.289608147,6.841124353,6660,provence-alpes-côte d'azur,st dalmas le selvage
21676,43.940895872,4.564758759,30210,occitanie,remoulins
21677,44.249071077,6.924614376,6660,provence-alpes-côte d'azur,st etienne de tinee
21678,44.239242546,4.282160602,30430,occitanie,rochegude
21679,44.197227626,4.150998787,30340,occitanie,rousson
21680,43.931340032,4.342168151,30190,occitanie,ste anastasie
21681,44.282697421,4.198537435,30500,occitanie,st bres
21682,44.063102844,4.183133715,30360,occitanie,st etienne de l olm
21683,44.195207001,4.579305349,30200,occitanie,st gervais
21684,43.657805591,4.407426996,30800,occitanie,st gilles
21685,43.628057549,7.029318403,6560,provence-alpes-côte d'azur,valbonne
21686,44.092104028,4.123180213,30560,occitanie,st hilaire de brethmas
21687,43.953520502,3.852736818,30170,occitanie,st hippolyte du fort
21688,43.962515939,3.684816107,30440,occitanie,st julien de la nef
21689,44.142235267,4.484584062,30330,occitanie,st marcel de careiret
21690,44.038516096,3.744231283,30440,occitanie,st martial
21691,44.205509075,4.551291126,30200,occitanie,st michel d euzet
21692,44.200255667,4.622981625,30200,occitanie,st nazaire
21693,44.099282433,4.554400062,30330,occitanie,st pons la calm
21694,44.142006968,4.130552258,30340,occitanie,st privat des vieux
21695,44.104438268,3.474698576,30750,occitanie,st sauveur camprieu
21696,43.943578906,4.083810786,30260,occitanie,st theodorit
21697,43.954980393,4.419685826,30700,occitanie,sanilhac sagries
21698,43.866862506,4.034861517,30260,occitanie,sardan
21699,43.937378305,3.954963212,30610,occitanie,sauve
21700,43.962277051,4.21655263,30190,occitanie,sauzet
21701,44.156302945,4.192812574,30340,occitanie,servas
21702,44.066316325,3.806777544,30460,occitanie,soudorgues
21703,43.81956203,4.135328536,30250,occitanie,souvignargues
21704,44.009320427,4.69279273,30126,occitanie,tavel
21705,44.065478752,3.920989991,30140,occitanie,thoiras
21706,43.758859191,4.264796843,30620,occitanie,uchaud
21707,44.126956535,4.356650903,30580,occitanie,vallerargues
21708,44.082762812,3.636084442,30570,occitanie,val d aigoual
21709,43.988963449,3.625064846,30120,occitanie,le vigan
21710,43.825669076,4.433844057,30230,occitanie,rodilhan
21711,43.428705578,1.5943385280000002,31450,occitanie,ayguesvives
21712,43.368429934,0.936646828,31230,occitanie,ambax
21713,43.000649712,0.7316492870000001,31160,occitanie,arbon
21714,43.06681625,0.644374978,31210,occitanie,ardiege
21715,42.874056005,0.694663133,31440,occitanie,arlos
21716,43.146286942,0.8995475340000001,31360,occitanie,arnaud guilhem
21717,42.826174104,0.640068603,31110,occitanie,artigue
21718,43.070087372,0.7202972910000001,31800,occitanie,aspret sarrat
21719,43.214183069,0.8707775040000001,31420,occitanie,aurignac
21720,43.683896724,1.328602945,31840,occitanie,aussonne
21721,43.174912217,0.8943728550000001,31360,occitanie,auzas
21722,43.539963905,1.568225843,31650,occitanie,auzielle
21723,43.224931135,1.288563542,31310,occitanie,bax
21724,43.114061037,0.8698364380000001,31360,occitanie,beauchalot
21725,43.652602564,1.559058438,31850,occitanie,beaupuy
21726,43.467908057,1.770745755,31460,occitanie,beauville
21727,43.437821744,1.556246095,31450,occitanie,belbeze de lauragais
21728,43.377850172,1.171788643,31370,occitanie,berat
21729,42.815900924,0.52915429,31110,occitanie,billiere
21730,43.544090857,1.137858573,31470,occitanie,bonrepos sur aussonnelle
21731,43.895219227,1.538676723,31340,occitanie,le born
21732,43.187052061,0.5170415030000001,31580,occitanie,boudrac
21733,43.795643971,1.418444134,31620,occitanie,bouloc
21734,43.24198164,0.875042549,31420,occitanie,boussan
21735,43.176678111,0.96044784,31360,occitanie,boussens
21736,42.915460884,0.770113932,31160,occitanie,boutx
21737,42.915460884,0.770113932,31160,occitanie,boutx
21738,43.034698264,0.740058324,31160,occitanie,cabanac cazaux
21739,43.791337881,1.01935355,31480,occitanie,cabanac seguenville
21740,43.284234248,1.626431706,31560,occitanie,calmont
21741,43.334639201,1.260330397,31410,occitanie,capens
21742,43.301366192,1.218622998,31390,occitanie,carbonne
21743,43.124260891,0.99173826,31260,occitanie,cassagne
21744,43.69744187,1.435210408,31780,occitanie,castelginest
21745,43.794483645,1.36196924,31620,occitanie,castelnau d estretefonds
21746,43.670766946,1.144855986,31530,occitanie,le castera
21747,43.327749681,0.994087335,31430,occitanie,casties labrande
21748,43.294893783,1.457634343,31190,occitanie,caujac
21749,42.802463132,0.581231841,31110,occitanie,cazarilh laspenes
21750,43.181224546,0.8619510420000001,31420,occitanie,cazeneuve montaut
21751,43.005078473,0.8752055999999999,31160,occitanie,chein dessus
21752,42.855569485,0.586885972,31110,occitanie,cier de luchon
21753,43.458260165,1.442782636,31810,occitanie,clermont le fort
21754,43.648786091,1.322457788,31700,occitanie,cornebarrieu
21755,43.049315908,0.8174828,31160,occitanie,couret
21756,43.544855875,1.34315827,31270,occitanie,cugnaux
21757,43.053261662,0.7467622700000001,31160,occitanie,encausse les thermes
21758,43.450502882,1.4877360830000002,31450,occitanie,espanes
21759,43.033892806,0.844179101,31160,occitanie,estadens
21760,42.940516876,0.635044821,31440,occitanie,estenos
21761,42.926292225,0.685086439,31440,occitanie,eup
21762,43.480138144,1.847131332,31540,occitanie,falga
21763,43.405221058,1.796248566,31290,occitanie,folcarde
21764,43.43134521,1.043311182,31370,occitanie,forgues
21765,42.860657115,0.7473954810000001,31440,occitanie,fos
21766,43.131007113,0.534636922,31210,occitanie,franquevielle
21767,42.963467495,0.664515826,31510,occitanie,frontignan de comminges
21768,43.215945773,1.142808687,31310,occitanie,gensac sur garonne
21769,43.302937259,1.676253455,31560,occitanie,gibel
21770,43.214309968,1.173572877,31310,occitanie,goutevernisse
21771,43.481471914,1.426702895,31120,occitanie,goyrans
21772,43.719274542,1.099668085,31480,occitanie,le gres
21773,42.886020073,0.607471078,31440,occitanie,guran
21774,42.802711617,0.62972718,31110,occitanie,juzet de luchon
21775,49.606525783,5.019159972,8210,grand est,autrecourt et pourron
21776,43.303406233,1.162054856,31390,occitanie,lafitte vigordane
21777,49.491291555,4.151408539,8190,grand est,balham
21778,43.337781576,1.405376985,31190,occitanie,lagrace dieu
21779,49.527897865,5.035286262,8210,grand est,beaumont en argonne
21780,43.484407633,1.248212667,31600,occitanie,lamasquere
21781,49.466090226,4.816965871,8240,grand est,belleville et chatillon sur bar
21782,43.561372654,1.668162608,31570,occitanie,lanta
21783,49.481819143,5.043752341,8240,grand est,belval bois des dames
21784,43.730812428,3.65262282,34380,occitanie,argelliers
21785,43.639029463,1.179454874,31530,occitanie,lasserre pradere
21786,49.766035044,4.252299556,8290,grand est,blanchefosse et bay
21787,43.323839061,2.745510698,34210,occitanie,azillanet
21788,43.249407025,1.290772208,31310,occitanie,latrape
21789,49.766035044,4.252299556,8290,grand est,blanchefosse et bay
21790,43.658511399,4.010394149,34670,occitanie,baillargues
21791,43.244982302,1.00497851,31220,occitanie,lescuns
21792,49.4195525,4.835300735,8240,grand est,boult aux bois
21793,43.446940785,3.690700903,34540,occitanie,balaruc les bains
21794,43.066199519,0.76198285,31160,occitanie,lespiteau
21795,43.73033218,4.021702945,34160,occitanie,beaulieu
21796,43.166027779,0.6576117770000001,31800,occitanie,lodes
21797,49.847766607,4.751030613,8120,grand est,bogny sur meuse
21798,43.703097142,3.151537046,34260,occitanie,le bousquet d orb
21799,43.573898446,1.78370051,31460,occitanie,loubens lauragais
